Ticker,Name,buy,sell,diff,Branch,Date,Branch_Code
00882,中信中國高股息,43,0,43,群益金鼎-宜蘭,2023-01-03,003900310038007a
6609,瀧澤科,30,0,30,群益金鼎-宜蘭,2023-01-03,003900310038007a
2449,京元電子,25,0,25,群益金鼎-宜蘭,2023-01-03,003900310038007a
4162,智擎,21,1,20,群益金鼎-宜蘭,2023-01-03,003900310038007a
00878,國泰永續高股息,22,3,19,群益金鼎-宜蘭,2023-01-03,003900310038007a
6443,元晶,20,1,19,群益金鼎-宜蘭,2023-01-03,003900310038007a
6180,橘子,21,4,17,群益金鼎-宜蘭,2023-01-03,003900310038007a
2634,漢翔,16,3,13,群益金鼎-宜蘭,2023-01-03,003900310038007a
2101,南港,11,0,11,群益金鼎-宜蘭,2023-01-03,003900310038007a
2353,宏��,10,0,10,群益金鼎-宜蘭,2023-01-03,003900310038007a
4147,中裕,11,1,10,群益金鼎-宜蘭,2023-01-03,003900310038007a
4931,新盛力,12,2,10,群益金鼎-宜蘭,2023-01-03,003900310038007a
6806,森崴能源,16,6,10,群益金鼎-宜蘭,2023-01-03,003900310038007a
00701,國泰股利精選30,9,0,9,群益金鼎-宜蘭,2023-01-03,003900310038007a
1605,華新,12,3,9,群益金鼎-宜蘭,2023-01-03,003900310038007a
5009,榮剛,9,0,9,群益金鼎-宜蘭,2023-01-03,003900310038007a
1417,嘉裕,11,3,8,群益金鼎-宜蘭,2023-01-03,003900310038007a
1409,新纖,8,0,8,群益金鼎-宜蘭,2023-01-03,003900310038007a
00637L,元大滬深300正2,38,30,8,群益金鼎-宜蘭,2023-01-03,003900310038007a
1529,樂事綠能,9,1,8,群益金鼎-宜蘭,2023-01-03,003900310038007a
00712,復華富時不動產,8,0,8,群益金鼎-宜蘭,2023-01-03,003900310038007a
4102,永日,9,2,7,群益金鼎-宜蘭,2023-01-03,003900310038007a
00902,中信電池及儲能,5,0,5,群益金鼎-宜蘭,2023-01-03,003900310038007a
2023,燁輝,9,4,5,群益金鼎-宜蘭,2023-01-03,003900310038007a
3176,基亞,5,0,5,群益金鼎-宜蘭,2023-01-03,003900310038007a
3207,耀勝,5,0,5,群益金鼎-宜蘭,2023-01-03,003900310038007a
6120,達運,5,0,5,群益金鼎-宜蘭,2023-01-03,003900310038007a
6235,華孚,5,0,5,群益金鼎-宜蘭,2023-01-03,003900310038007a
6706,惠特,5,0,5,群益金鼎-宜蘭,2023-01-03,003900310038007a
1325,恆大,6,2,4,群益金鼎-宜蘭,2023-01-03,003900310038007a
2303,聯電,12,8,4,群益金鼎-宜蘭,2023-01-03,003900310038007a
2425,承啟,8,4,4,群益金鼎-宜蘭,2023-01-03,003900310038007a
2504,國產,4,0,4,群益金鼎-宜蘭,2023-01-03,003900310038007a
2610,華航,11,7,4,群益金鼎-宜蘭,2023-01-03,003900310038007a
4105,東洋,4,0,4,群益金鼎-宜蘭,2023-01-03,003900310038007a
4164,承業醫,4,0,4,群益金鼎-宜蘭,2023-01-03,003900310038007a
8933,愛地雅,10,6,4,群益金鼎-宜蘭,2023-01-03,003900310038007a
2891,中信金,7,3,4,群益金鼎-宜蘭,2023-01-03,003900310038007a
2882,國泰金,7,3,4,群益金鼎-宜蘭,2023-01-03,003900310038007a
00895,富邦未來車,3,0,3,群益金鼎-宜蘭,2023-01-03,003900310038007a
00687B,國泰20年美債,3,0,3,群益金鼎-宜蘭,2023-01-03,003900310038007a
00633L,富邦上証正2,3,0,3,群益金鼎-宜蘭,2023-01-03,003900310038007a
1905,華紙,3,0,3,群益金鼎-宜蘭,2023-01-03,003900310038007a
2409,友達,10,7,3,群益金鼎-宜蘭,2023-01-03,003900310038007a
2484,希華,3,0,3,群益金鼎-宜蘭,2023-01-03,003900310038007a
2603,長榮,7,4,3,群益金鼎-宜蘭,2023-01-03,003900310038007a
2723,美食-KY,8,5,3,群益金鼎-宜蘭,2023-01-03,003900310038007a
3035,智原,5,2,3,群益金鼎-宜蘭,2023-01-03,003900310038007a
3466,德晉,3,0,3,群益金鼎-宜蘭,2023-01-03,003900310038007a
3693,營邦,3,0,3,群益金鼎-宜蘭,2023-01-03,003900310038007a
3272,東碩,17,0,17,群益金鼎-宜蘭,2023-01-04,003900310038007a
2882,國泰金,16,0,16,群益金鼎-宜蘭,2023-01-04,003900310038007a
1514,亞力,22,8,14,群益金鼎-宜蘭,2023-01-04,003900310038007a
00720B,元大投資級公司債,12,0,12,群益金鼎-宜蘭,2023-01-04,003900310038007a
00715L,期街口布蘭特正2,12,0,12,群益金鼎-宜蘭,2023-01-04,003900310038007a
3712,永崴投控,11,0,11,群益金鼎-宜蘭,2023-01-04,003900310038007a
00919,群益台灣精選高息,10,0,10,群益金鼎-宜蘭,2023-01-04,003900310038007a
2867,三商壽,10,0,10,群益金鼎-宜蘭,2023-01-04,003900310038007a
2884,玉山金,10,0,10,群益金鼎-宜蘭,2023-01-04,003900310038007a
5371,中光電,10,0,10,群益金鼎-宜蘭,2023-01-04,003900310038007a
5608,四維航,10,0,10,群益金鼎-宜蘭,2023-01-04,003900310038007a
6153,嘉聯益,10,0,10,群益金鼎-宜蘭,2023-01-04,003900310038007a
0056,元大高股息,9,0,9,群益金鼎-宜蘭,2023-01-04,003900310038007a
6706,惠特,9,0,9,群益金鼎-宜蘭,2023-01-04,003900310038007a
1609,大亞,114,107,7,群益金鼎-宜蘭,2023-01-04,003900310038007a
2603,長榮,11,4,7,群益金鼎-宜蘭,2023-01-04,003900310038007a
00632R,元大台灣50反1,10,4,6,群益金鼎-宜蘭,2023-01-04,003900310038007a
9958,世紀鋼,7,1,6,群益金鼎-宜蘭,2023-01-04,003900310038007a
2359,所羅門,5,0,5,群益金鼎-宜蘭,2023-01-04,003900310038007a
6477,安集,7,2,5,群益金鼎-宜蘭,2023-01-04,003900310038007a
00680L,元大美債20正2,5,0,5,群益金鼎-宜蘭,2023-01-04,003900310038007a
1304,台聚,5,0,5,群益金鼎-宜蘭,2023-01-04,003900310038007a
1721,三晃,5,0,5,群益金鼎-宜蘭,2023-01-04,003900310038007a
2327,國巨,5,0,5,群益金鼎-宜蘭,2023-01-04,003900310038007a
2402,毅嘉,5,0,5,群益金鼎-宜蘭,2023-01-04,003900310038007a
2903,遠百,5,0,5,群益金鼎-宜蘭,2023-01-04,003900310038007a
4915,致伸,5,0,5,群益金鼎-宜蘭,2023-01-04,003900310038007a
6235,華孚,24,19,5,群益金鼎-宜蘭,2023-01-04,003900310038007a
6517,保勝光學,5,0,5,群益金鼎-宜蘭,2023-01-04,003900310038007a
8021,尖點,5,0,5,群益金鼎-宜蘭,2023-01-04,003900310038007a
2201,裕隆,17,13,4,群益金鼎-宜蘭,2023-01-04,003900310038007a
2382,廣達,4,0,4,群益金鼎-宜蘭,2023-01-04,003900310038007a
2615,萬海,9,5,4,群益金鼎-宜蘭,2023-01-04,003900310038007a
4114,健喬,4,0,4,群益金鼎-宜蘭,2023-01-04,003900310038007a
1513,中興電,19,16,3,群益金鼎-宜蘭,2023-01-04,003900310038007a
00751B,元大AAA至A公司債,3,0,3,群益金鼎-宜蘭,2023-01-04,003900310038007a
00882,中信中國高股息,3,0,3,群益金鼎-宜蘭,2023-01-04,003900310038007a
1312,國喬,3,0,3,群益金鼎-宜蘭,2023-01-04,003900310038007a
2367,燿華,3,0,3,群益金鼎-宜蘭,2023-01-04,003900310038007a
3105,穩懋,3,0,3,群益金鼎-宜蘭,2023-01-04,003900310038007a
3189,景碩,6,3,3,群益金鼎-宜蘭,2023-01-04,003900310038007a
3508,位速,3,0,3,群益金鼎-宜蘭,2023-01-04,003900310038007a
3707,漢磊,3,0,3,群益金鼎-宜蘭,2023-01-04,003900310038007a
4739,康普,3,0,3,群益金鼎-宜蘭,2023-01-04,003900310038007a
5009,榮剛,6,3,3,群益金鼎-宜蘭,2023-01-04,003900310038007a
5340,建榮,3,0,3,群益金鼎-宜蘭,2023-01-04,003900310038007a
6283,淳安,3,0,3,群益金鼎-宜蘭,2023-01-04,003900310038007a
6288,聯嘉,3,0,3,群益金鼎-宜蘭,2023-01-04,003900310038007a
4162,智擎,3,0,3,群益金鼎-宜蘭,2023-01-04,003900310038007a
8171,天宇,16,14,2,群益金鼎-宜蘭,2023-01-04,003900310038007a
2421,建準,35,0,35,群益金鼎-宜蘭,2023-01-05,003900310038007a
2354,鴻準,30,0,30,群益金鼎-宜蘭,2023-01-05,003900310038007a
1584,精剛,20,0,20,群益金鼎-宜蘭,2023-01-05,003900310038007a
3231,緯創,20,0,20,群益金鼎-宜蘭,2023-01-05,003900310038007a
4979,華星光,22,2,20,群益金鼎-宜蘭,2023-01-05,003900310038007a
1605,華新,23,4,19,群益金鼎-宜蘭,2023-01-05,003900310038007a
5014,建錩,22,3,19,群益金鼎-宜蘭,2023-01-05,003900310038007a
2498,宏達電,47,30,17,群益金鼎-宜蘭,2023-01-05,003900310038007a
2340,台亞,16,0,16,群益金鼎-宜蘭,2023-01-05,003900310038007a
00715L,期街口布蘭特正2,17,2,15,群益金鼎-宜蘭,2023-01-05,003900310038007a
1909,榮成,33,18,15,群益金鼎-宜蘭,2023-01-05,003900310038007a
3624,光頡,16,1,15,群益金鼎-宜蘭,2023-01-05,003900310038007a
5009,榮剛,15,0,15,群益金鼎-宜蘭,2023-01-05,003900310038007a
2317,鴻海,15,2,13,群益金鼎-宜蘭,2023-01-05,003900310038007a
2618,長榮航,18,5,13,群益金鼎-宜蘭,2023-01-05,003900310038007a
1519,華城,34,22,12,群益金鼎-宜蘭,2023-01-05,003900310038007a
2888,新光金,12,0,12,群益金鼎-宜蘭,2023-01-05,003900310038007a
1314,中石化,11,0,11,群益金鼎-宜蘭,2023-01-05,003900310038007a
1305,華夏,11,0,11,群益金鼎-宜蘭,2023-01-05,003900310038007a
2031,新光鋼,10,0,10,群益金鼎-宜蘭,2023-01-05,003900310038007a
4121,優盛,10,0,10,群益金鼎-宜蘭,2023-01-05,003900310038007a
4147,中裕,10,0,10,群益金鼎-宜蘭,2023-01-05,003900310038007a
3704,合勤控,23,14,9,群益金鼎-宜蘭,2023-01-05,003900310038007a
6015,宏遠證,8,0,8,群益金鼎-宜蘭,2023-01-05,003900310038007a
0056,元大高股息,8,0,8,群益金鼎-宜蘭,2023-01-05,003900310038007a
2303,聯電,8,0,8,群益金鼎-宜蘭,2023-01-05,003900310038007a
3260,威剛,8,0,8,群益金鼎-宜蘭,2023-01-05,003900310038007a
2465,麗臺,8,1,7,群益金鼎-宜蘭,2023-01-05,003900310038007a
2723,美食-KY,9,2,7,群益金鼎-宜蘭,2023-01-05,003900310038007a
2905,三商,7,0,7,群益金鼎-宜蘭,2023-01-05,003900310038007a
6244,茂迪,10,3,7,群益金鼎-宜蘭,2023-01-05,003900310038007a
9958,世紀鋼,9,2,7,群益金鼎-宜蘭,2023-01-05,003900310038007a
6741,91APP*-KY,8,1,7,群益金鼎-宜蘭,2023-01-05,003900310038007a
1417,嘉裕,10,4,6,群益金鼎-宜蘭,2023-01-05,003900310038007a
2409,友達,6,0,6,群益金鼎-宜蘭,2023-01-05,003900310038007a
3030,德律,6,0,6,群益金鼎-宜蘭,2023-01-05,003900310038007a
6208,日揚,6,0,6,群益金鼎-宜蘭,2023-01-05,003900310038007a
2402,毅嘉,5,0,5,群益金鼎-宜蘭,2023-01-05,003900310038007a
3406,玉晶光,5,0,5,群益金鼎-宜蘭,2023-01-05,003900310038007a
4541,晟田,5,0,5,群益金鼎-宜蘭,2023-01-05,003900310038007a
4919,新唐,5,0,5,群益金鼎-宜蘭,2023-01-05,003900310038007a
5351,鈺創,7,2,5,群益金鼎-宜蘭,2023-01-05,003900310038007a
5905,南仁湖,8,3,5,群益金鼎-宜蘭,2023-01-05,003900310038007a
6176,瑞儀,5,0,5,群益金鼎-宜蘭,2023-01-05,003900310038007a
6414,樺漢,6,1,5,群益金鼎-宜蘭,2023-01-05,003900310038007a
1512,瑞利,4,0,4,群益金鼎-宜蘭,2023-01-05,003900310038007a
00669R,國泰美國道瓊反1,4,0,4,群益金鼎-宜蘭,2023-01-05,003900310038007a
00881,國泰台灣5G+,4,0,4,群益金鼎-宜蘭,2023-01-05,003900310038007a
2002,中鋼,4,0,4,群益金鼎-宜蘭,2023-01-05,003900310038007a
2610,華航,23,19,4,群益金鼎-宜蘭,2023-01-05,003900310038007a
00632R,元大台灣50反1,2037,30,2007,群益金鼎-宜蘭,2023-01-06,003900310038007a
00706L,期元大S＆P日圓正2,54,0,54,群益金鼎-宜蘭,2023-01-06,003900310038007a
2409,友達,40,2,38,群益金鼎-宜蘭,2023-01-06,003900310038007a
6274,台燿,33,0,33,群益金鼎-宜蘭,2023-01-06,003900310038007a
00715L,期街口布蘭特正2,19,1,18,群益金鼎-宜蘭,2023-01-06,003900310038007a
3704,合勤控,22,7,15,群益金鼎-宜蘭,2023-01-06,003900310038007a
00720B,元大投資級公司債,13,0,13,群益金鼎-宜蘭,2023-01-06,003900310038007a
2330,台積電,14,1,13,群益金鼎-宜蘭,2023-01-06,003900310038007a
1519,華城,13,2,11,群益金鼎-宜蘭,2023-01-06,003900310038007a
2637,慧洋-KY,15,4,11,群益金鼎-宜蘭,2023-01-06,003900310038007a
6138,茂達,11,0,11,群益金鼎-宜蘭,2023-01-06,003900310038007a
3705,永信,10,0,10,群益金鼎-宜蘭,2023-01-06,003900310038007a
1701,中化,13,3,10,群益金鼎-宜蘭,2023-01-06,003900310038007a
3231,緯創,10,0,10,群益金鼎-宜蘭,2023-01-06,003900310038007a
9945,潤泰新,10,0,10,群益金鼎-宜蘭,2023-01-06,003900310038007a
1605,華新,21,12,9,群益金鼎-宜蘭,2023-01-06,003900310038007a
2882,國泰金,20,12,8,群益金鼎-宜蘭,2023-01-06,003900310038007a
00669R,國泰美國道瓊反1,7,0,7,群益金鼎-宜蘭,2023-01-06,003900310038007a
00893,國泰智能電動車,10,3,7,群益金鼎-宜蘭,2023-01-06,003900310038007a
2338,光罩,14,7,7,群益金鼎-宜蘭,2023-01-06,003900310038007a
4968,立積,9,2,7,群益金鼎-宜蘭,2023-01-06,003900310038007a
6477,安集,7,0,7,群益金鼎-宜蘭,2023-01-06,003900310038007a
6192,巨路,6,0,6,群益金鼎-宜蘭,2023-01-06,003900310038007a
2317,鴻海,6,1,5,群益金鼎-宜蘭,2023-01-06,003900310038007a
1513,中興電,19,14,5,群益金鼎-宜蘭,2023-01-06,003900310038007a
1303,南亞,5,0,5,群益金鼎-宜蘭,2023-01-06,003900310038007a
3406,玉晶光,7,2,5,群益金鼎-宜蘭,2023-01-06,003900310038007a
3545,敦泰,5,0,5,群益金鼎-宜蘭,2023-01-06,003900310038007a
4114,健喬,16,11,5,群益金鼎-宜蘭,2023-01-06,003900310038007a
4979,華星光,5,0,5,群益金鼎-宜蘭,2023-01-06,003900310038007a
2359,所羅門,9,5,4,群益金鼎-宜蘭,2023-01-06,003900310038007a
1467,南緯,4,0,4,群益金鼎-宜蘭,2023-01-06,003900310038007a
1810,和成,6,2,4,群益金鼎-宜蘭,2023-01-06,003900310038007a
3149,正達,4,0,4,群益金鼎-宜蘭,2023-01-06,003900310038007a
4105,東洋,4,0,4,群益金鼎-宜蘭,2023-01-06,003900310038007a
6741,91APP*-KY,4,0,4,群益金鼎-宜蘭,2023-01-06,003900310038007a
9928,中視,4,0,4,群益金鼎-宜蘭,2023-01-06,003900310038007a
0050,元大台灣50,3,0,3,群益金鼎-宜蘭,2023-01-06,003900310038007a
00670L,富邦NASDAQ正2,3,0,3,群益金鼎-宜蘭,2023-01-06,003900310038007a
2883B,凱基金乙特,3,0,3,群益金鼎-宜蘭,2023-01-06,003900310038007a
2887,台新金,4,1,3,群益金鼎-宜蘭,2023-01-06,003900310038007a
3710,連展投控,3,0,3,群益金鼎-宜蘭,2023-01-06,003900310038007a
4162,智擎,6,3,3,群益金鼎-宜蘭,2023-01-06,003900310038007a
4931,新盛力,3,0,3,群益金鼎-宜蘭,2023-01-06,003900310038007a
5321,美而快,7,4,3,群益金鼎-宜蘭,2023-01-06,003900310038007a
5351,鈺創,7,4,3,群益金鼎-宜蘭,2023-01-06,003900310038007a
6213,聯茂,3,0,3,群益金鼎-宜蘭,2023-01-06,003900310038007a
6531,愛普*,8,5,3,群益金鼎-宜蘭,2023-01-06,003900310038007a
6712,長聖,3,0,3,群益金鼎-宜蘭,2023-01-06,003900310038007a
8996,高力,11,8,3,群益金鼎-宜蘭,2023-01-06,003900310038007a
1314,中石化,291,3,288,群益金鼎-宜蘭,2023-01-09,003900310038007a
5340,建榮,101,0,101,群益金鼎-宜蘭,2023-01-09,003900310038007a
00632R,元大台灣50反1,73,0,73,群益金鼎-宜蘭,2023-01-09,003900310038007a
2014,中鴻,39,4,35,群益金鼎-宜蘭,2023-01-09,003900310038007a
1909,榮成,35,5,30,群益金鼎-宜蘭,2023-01-09,003900310038007a
4979,華星光,30,3,27,群益金鼎-宜蘭,2023-01-09,003900310038007a
1605,華新,29,3,26,群益金鼎-宜蘭,2023-01-09,003900310038007a
1522,堤維西,20,0,20,群益金鼎-宜蘭,2023-01-09,003900310038007a
2504,國產,15,0,15,群益金鼎-宜蘭,2023-01-09,003900310038007a
1815,富喬,16,4,12,群益金鼎-宜蘭,2023-01-09,003900310038007a
00650L,復華香港正2,10,0,10,群益金鼎-宜蘭,2023-01-09,003900310038007a
00753L,中信中國50正2,452,442,10,群益金鼎-宜蘭,2023-01-09,003900310038007a
00665L,富邦�琤肭磪囓�2,10,0,10,群益金鼎-宜蘭,2023-01-09,003900310038007a
5351,鈺創,10,0,10,群益金鼎-宜蘭,2023-01-09,003900310038007a
5475,德宏,10,0,10,群益金鼎-宜蘭,2023-01-09,003900310038007a
8213,志超,10,0,10,群益金鼎-宜蘭,2023-01-09,003900310038007a
3006,晶豪科,12,3,9,群益金鼎-宜蘭,2023-01-09,003900310038007a
1519,華城,11,3,8,群益金鼎-宜蘭,2023-01-09,003900310038007a
3033,威健,10,2,8,群益金鼎-宜蘭,2023-01-09,003900310038007a
4114,健喬,13,5,8,群益金鼎-宜蘭,2023-01-09,003900310038007a
6477,安集,8,0,8,群益金鼎-宜蘭,2023-01-09,003900310038007a
9955,佳龍,8,0,8,群益金鼎-宜蘭,2023-01-09,003900310038007a
4105,東洋,7,0,7,群益金鼎-宜蘭,2023-01-09,003900310038007a
2609,陽明,9,3,6,群益金鼎-宜蘭,2023-01-09,003900310038007a
2883,凱基金,10,4,6,群益金鼎-宜蘭,2023-01-09,003900310038007a
6443,元晶,11,5,6,群益金鼎-宜蘭,2023-01-09,003900310038007a
3374,精材,5,0,5,群益金鼎-宜蘭,2023-01-09,003900310038007a
4935,茂林-KY,5,0,5,群益金鼎-宜蘭,2023-01-09,003900310038007a
4961,天鈺,10,5,5,群益金鼎-宜蘭,2023-01-09,003900310038007a
1503,士電,4,0,4,群益金鼎-宜蘭,2023-01-09,003900310038007a
1515,力山,4,0,4,群益金鼎-宜蘭,2023-01-09,003900310038007a
1701,中化,4,0,4,群益金鼎-宜蘭,2023-01-09,003900310038007a
2329,華泰,5,1,4,群益金鼎-宜蘭,2023-01-09,003900310038007a
3479,安勤,4,0,4,群益金鼎-宜蘭,2023-01-09,003900310038007a
5347,世界,9,5,4,群益金鼎-宜蘭,2023-01-09,003900310038007a
1443,立益物流,3,0,3,群益金鼎-宜蘭,2023-01-09,003900310038007a
1229,聯華,3,0,3,群益金鼎-宜蘭,2023-01-09,003900310038007a
2313,華通,4,1,3,群益金鼎-宜蘭,2023-01-09,003900310038007a
2338,光罩,10,7,3,群益金鼎-宜蘭,2023-01-09,003900310038007a
2634,漢翔,3,0,3,群益金鼎-宜蘭,2023-01-09,003900310038007a
2641,正德,3,0,3,群益金鼎-宜蘭,2023-01-09,003900310038007a
2801,彰銀,3,0,3,群益金鼎-宜蘭,2023-01-09,003900310038007a
3035,智原,7,4,3,群益金鼎-宜蘭,2023-01-09,003900310038007a
3209,全科,3,0,3,群益金鼎-宜蘭,2023-01-09,003900310038007a
3317,尼克森,3,0,3,群益金鼎-宜蘭,2023-01-09,003900310038007a
3576,聯合再生,3,0,3,群益金鼎-宜蘭,2023-01-09,003900310038007a
3710,連展投控,3,0,3,群益金鼎-宜蘭,2023-01-09,003900310038007a
6533,晶心科,8,5,3,群益金鼎-宜蘭,2023-01-09,003900310038007a
8473,山林水,3,0,3,群益金鼎-宜蘭,2023-01-09,003900310038007a
2002,中鋼,5,3,2,群益金鼎-宜蘭,2023-01-09,003900310038007a
00706L,期元大S＆P日圓正2,56,0,56,群益金鼎-宜蘭,2023-01-10,003900310038007a
3380,明泰,30,0,30,群益金鼎-宜蘭,2023-01-10,003900310038007a
5340,建榮,29,0,29,群益金鼎-宜蘭,2023-01-10,003900310038007a
00650L,復華香港正2,20,0,20,群益金鼎-宜蘭,2023-01-10,003900310038007a
1752,南光,19,0,19,群益金鼎-宜蘭,2023-01-10,003900310038007a
2353,宏��,20,1,19,群益金鼎-宜蘭,2023-01-10,003900310038007a
00632R,元大台灣50反1,16,0,16,群益金鼎-宜蘭,2023-01-10,003900310038007a
2915,潤泰全,16,0,16,群益金鼎-宜蘭,2023-01-10,003900310038007a
1218,泰山,15,1,14,群益金鼎-宜蘭,2023-01-10,003900310038007a
4968,立積,21,8,13,群益金鼎-宜蘭,2023-01-10,003900310038007a
3006,晶豪科,11,0,11,群益金鼎-宜蘭,2023-01-10,003900310038007a
3682,亞太電,11,0,11,群益金鼎-宜蘭,2023-01-10,003900310038007a
3406,玉晶光,10,0,10,群益金鼎-宜蘭,2023-01-10,003900310038007a
6477,安集,10,0,10,群益金鼎-宜蘭,2023-01-10,003900310038007a
2444,兆勁,8,0,8,群益金鼎-宜蘭,2023-01-10,003900310038007a
3594,磐儀,8,0,8,群益金鼎-宜蘭,2023-01-10,003900310038007a
6443,元晶,20,12,8,群益金鼎-宜蘭,2023-01-10,003900310038007a
8044,網家,10,3,7,群益金鼎-宜蘭,2023-01-10,003900310038007a
8086,宏捷科,7,0,7,群益金鼎-宜蘭,2023-01-10,003900310038007a
2317,鴻海,7,0,7,群益金鼎-宜蘭,2023-01-10,003900310038007a
2618,長榮航,9,3,6,群益金鼎-宜蘭,2023-01-10,003900310038007a
3576,聯合再生,6,0,6,群益金鼎-宜蘭,2023-01-10,003900310038007a
6643,M31,9,3,6,群益金鼎-宜蘭,2023-01-10,003900310038007a
9955,佳龍,6,0,6,群益金鼎-宜蘭,2023-01-10,003900310038007a
2845,遠東銀,6,0,6,群益金鼎-宜蘭,2023-01-10,003900310038007a
6531,愛普*,5,0,5,群益金鼎-宜蘭,2023-01-10,003900310038007a
00655L,國泰中國A50正2,6,1,5,群益金鼎-宜蘭,2023-01-10,003900310038007a
2401,凌陽,5,0,5,群益金鼎-宜蘭,2023-01-10,003900310038007a
2504,國產,10,5,5,群益金鼎-宜蘭,2023-01-10,003900310038007a
2880,華南金,5,0,5,群益金鼎-宜蘭,2023-01-10,003900310038007a
3297,杭特,5,0,5,群益金鼎-宜蘭,2023-01-10,003900310038007a
4105,東洋,5,0,5,群益金鼎-宜蘭,2023-01-10,003900310038007a
4114,健喬,5,0,5,群益金鼎-宜蘭,2023-01-10,003900310038007a
5475,德宏,5,0,5,群益金鼎-宜蘭,2023-01-10,003900310038007a
6109,亞元,5,0,5,群益金鼎-宜蘭,2023-01-10,003900310038007a
00877,復華中國5G,4,0,4,群益金鼎-宜蘭,2023-01-10,003900310038007a
2230,泰茂,4,0,4,群益金鼎-宜蘭,2023-01-10,003900310038007a
4162,智擎,6,2,4,群益金鼎-宜蘭,2023-01-10,003900310038007a
8040,九暘,4,0,4,群益金鼎-宜蘭,2023-01-10,003900310038007a
8171,天宇,3,0,3,群益金鼎-宜蘭,2023-01-10,003900310038007a
4167,松瑞藥,4,1,3,群益金鼎-宜蘭,2023-01-10,003900310038007a
00715L,期街口布蘭特正2,8,5,3,群益金鼎-宜蘭,2023-01-10,003900310038007a
1785,光洋科,3,0,3,群益金鼎-宜蘭,2023-01-10,003900310038007a
1815,富喬,3,0,3,群益金鼎-宜蘭,2023-01-10,003900310038007a
2023,燁輝,8,5,3,群益金鼎-宜蘭,2023-01-10,003900310038007a
2344,華邦電,3,0,3,群益金鼎-宜蘭,2023-01-10,003900310038007a
2482,連宇,25,22,3,群益金鼎-宜蘭,2023-01-10,003900310038007a
3081,聯亞,4,1,3,群益金鼎-宜蘭,2023-01-10,003900310038007a
3686,達能,3,0,3,群益金鼎-宜蘭,2023-01-10,003900310038007a
4106,雃博,4,1,3,群益金鼎-宜蘭,2023-01-10,003900310038007a
00915,凱基優選高股息30,60,0,60,群益金鼎-宜蘭,2023-01-11,003900310038007a
9907,統一實,58,0,58,群益金鼎-宜蘭,2023-01-11,003900310038007a
3704,合勤控,44,2,42,群益金鼎-宜蘭,2023-01-11,003900310038007a
00671R,富邦NASDAQ反1,40,0,40,群益金鼎-宜蘭,2023-01-11,003900310038007a
1584,精剛,34,1,33,群益金鼎-宜蘭,2023-01-11,003900310038007a
2618,長榮航,37,6,31,群益金鼎-宜蘭,2023-01-11,003900310038007a
00885,富邦越南,20,0,20,群益金鼎-宜蘭,2023-01-11,003900310038007a
8213,志超,20,0,20,群益金鼎-宜蘭,2023-01-11,003900310038007a
5340,建榮,16,0,16,群益金鼎-宜蘭,2023-01-11,003900310038007a
00632R,元大台灣50反1,15,0,15,群益金鼎-宜蘭,2023-01-11,003900310038007a
2504,國產,15,0,15,群益金鼎-宜蘭,2023-01-11,003900310038007a
1409,新纖,10,0,10,群益金鼎-宜蘭,2023-01-11,003900310038007a
2610,華航,22,12,10,群益金鼎-宜蘭,2023-01-11,003900310038007a
4128,中天,10,0,10,群益金鼎-宜蘭,2023-01-11,003900310038007a
1513,中興電,16,7,9,群益金鼎-宜蘭,2023-01-11,003900310038007a
1519,華城,16,7,9,群益金鼎-宜蘭,2023-01-11,003900310038007a
00919,群益台灣精選高息,10,1,9,群益金鼎-宜蘭,2023-01-11,003900310038007a
1101,台泥,10,1,9,群益金鼎-宜蘭,2023-01-11,003900310038007a
2402,毅嘉,10,2,8,群益金鼎-宜蘭,2023-01-11,003900310038007a
00680L,元大美債20正2,7,0,7,群益金鼎-宜蘭,2023-01-11,003900310038007a
4114,健喬,14,7,7,群益金鼎-宜蘭,2023-01-11,003900310038007a
4164,承業醫,7,0,7,群益金鼎-宜蘭,2023-01-11,003900310038007a
2845,遠東銀,15,8,7,群益金鼎-宜蘭,2023-01-11,003900310038007a
00715L,期街口布蘭特正2,6,0,6,群益金鼎-宜蘭,2023-01-11,003900310038007a
2344,華邦電,6,0,6,群益金鼎-宜蘭,2023-01-11,003900310038007a
6176,瑞儀,6,0,6,群益金鼎-宜蘭,2023-01-11,003900310038007a
00679B,元大美債20年,5,0,5,群益金鼎-宜蘭,2023-01-11,003900310038007a
00676R,富邦臺灣加權反1,5,0,5,群益金鼎-宜蘭,2023-01-11,003900310038007a
00772B,中信高評級公司債,5,0,5,群益金鼎-宜蘭,2023-01-11,003900310038007a
2009,第一銅,7,2,5,群益金鼎-宜蘭,2023-01-11,003900310038007a
2436,偉詮電,5,0,5,群益金鼎-宜蘭,2023-01-11,003900310038007a
2812,台中銀,5,0,5,群益金鼎-宜蘭,2023-01-11,003900310038007a
5880,合庫金,5,0,5,群益金鼎-宜蘭,2023-01-11,003900310038007a
00878,國泰永續高股息,10,5,5,群益金鼎-宜蘭,2023-01-11,003900310038007a
1442,名軒,4,0,4,群益金鼎-宜蘭,2023-01-11,003900310038007a
00669R,國泰美國道瓊反1,4,0,4,群益金鼎-宜蘭,2023-01-11,003900310038007a
00706L,期元大S＆P日圓正2,4,0,4,群益金鼎-宜蘭,2023-01-11,003900310038007a
2633,台灣高鐵,4,0,4,群益金鼎-宜蘭,2023-01-11,003900310038007a
